user_id;name;age;gender;job_category;job_title;preferred_coffee_type;visit_frequency;average_spend;average_rating;cafes_visited;time_preferences;mood_activity;is_international
U0001;Magnus Kuznetsov;27;male;Professional;Campus Architect;['Turkish Coffee', 'Iced Latte'];12;47.42;3.85;2;['afternoon', 'evening'];group study;TRUE
U0002;Xiao Fischer;23;female;Student;Undergraduate Student;['Flat White'];21;27.38;3.56;8;['morning'];studying;TRUE
U0003;Yeşim Adil;32;female;Support Staff;Bookstore Staff;['Frappe', 'Cold Brew', 'Cappuccino'];6;55.56;4.51;12;['afternoon'];relaxing;FALSE
U0004;Gamze Barlık;35;female;Support Staff;Cafeteria Staff;['Cappuccino'];10;36.73;4.17;10;['afternoon'];working;FALSE
U0005;Lucia Papadopoulos;28;female;Medical;Hospital Doctor;['Espresso'];12;40.69;3.69;10;['morning'];working;TRUE
U0006;Natasha Meyer;32;female;Administrative;University Administrator;['Iced Latte', 'Espresso', 'Herbal Tea'];13;21.98;3.78;4;['afternoon'];studying;TRUE
U0007;Çınar Ayışığıoğlu;43;neutral;Administrative;IT Support;['Turkish Coffee', 'Latte'];6;40.86;4.17;9;['evening', 'morning'];relaxing;FALSE
U0008;Carlos Sokolov;22;male;Student;PhD Student;['Macchiato', 'Cold Brew'];8;27.71;3.52;9;['evening'];working;TRUE
U0009;Magnus Weber;29;male;Student;Master's Student;['Affogato', 'Flat White'];11;24.28;3.71;11;['evening'];relaxing;TRUE
U0010;Kerem Bahattin;47;male;Medical;Medical Technician;['Cold Brew'];11;22.9;3.75;4;['evening'];working;FALSE
U0011;Aykut Aydınkaya;33;male;Support Staff;Cafeteria Staff;['Herbal Tea', 'Turkish Coffee'];13;29.91;3.68;4;['morning'];relaxing;FALSE
U0012;Ji-eun Zhang;40;female;Administrative;Library Staff;['Turkish Tea', 'Iced Latte'];5;55.12;3.53;4;['afternoon', 'evening'];meeting;TRUE
U0013;Fatima Hassan;25;female;Professional;Mental Health Counselor;['Americano', 'Frappe', 'Latte'];12;47.18;3.6;3;['evening'];meeting;TRUE
U0014;Ömer Azrak;26;male;Professional;Career Counselor;['Latte'];11;20.99;4.0;2;['evening', 'afternoon'];group study;FALSE
U0015;Atakan Barışcan;38;male;Medical;Pharmacist;['Turkish Tea', 'Iced Latte'];8;29.94;4.54;14;['evening'];studying;FALSE
U0016;Anjali Choi;27;female;Administrative;Library Staff;['Affogato', 'Iced Latte', 'Frappe'];10;24.49;3.9;2;['evening', 'afternoon'];meeting;TRUE
U0017;Tuğçe Aykutlu;37;female;Academic;Research Assistant;['Flat White', 'Latte'];8;27.51;3.75;6;['evening', 'afternoon'];group study;FALSE
U0018;Erik Esposito;51;male;Administrative;Library Staff;['Affogato', 'Espresso', 'Americano'];14;35.64;3.6;2;['evening', 'morning'];meeting;TRUE
U0019;Nilay Aykaç;38;female;Administrative;Student Affairs Officer;['Mocha', 'Macchiato', 'Espresso'];14;30.48;4.0;13;['afternoon', 'morning'];group study;FALSE
U0020;Yeliz Aykınsoy;41;female;Administrative;University Administrator;['Mocha', 'Iced Latte', 'Latte'];14;30.38;0.0;0;['evening'];group study;FALSE
U0021;Rümeysa Azrak;35;female;Academic;Assistant Professor;['Mocha'];4;21.83;4.03;9;['morning', 'afternoon'];group study;FALSE
U0022;Abdullah Adil;43;male;Administrative;Campus Security;['Affogato', 'Iced Latte', 'Turkish Coffee'];15;37.67;3.71;12;['morning', 'evening'];relaxing;FALSE
U0023;Zeki Bahattin;25;male;Student;Medical Student;['Macchiato'];12;19.42;4.17;13;['afternoon', 'morning'];socializing;FALSE
U0024;Müge Aykın;29;female;Medical;Pharmacist;['Frappe'];11;37.18;4.17;7;['afternoon'];studying;FALSE
U0025;Özge Ayvermiş;39;female;Medical;Medical Resident;['Cold Brew', 'Herbal Tea', 'Macchiato'];13;57.4;4.44;8;['morning', 'afternoon'];relaxing;FALSE
U0026;Abdullah Azar;55;male;Support Staff;Laboratory Technician;['Cappuccino', 'Herbal Tea', 'Macchiato'];7;46.04;3.66;7;['afternoon', 'evening'];reading;FALSE
U0027;Ali Aykanlı;49;male;Professional;Campus Architect;['Turkish Tea'];5;36.25;3.78;9;['morning', 'evening'];relaxing;FALSE
U0028;Nihan Ayöztürk;50;female;Medical;Medical Resident;['Macchiato', 'Cold Brew', 'Turkish Tea'];12;45.17;3.55;4;['afternoon'];studying;FALSE
