review_id;user_id;user_name;cafe_name;cafe_id;rating;date;date
R00001;U0243;İrem Aynaoğlu;Cafe Portakal;ChIJA8RbiiZ9uRQRYjwkKXp8YHs;3;2025-02-28;2025-02-28
R00002;U0797;Fatima Rodriguez;Asperitas coffee;ChIJtWyhU1F9uRQRPWercRQV7Ek;1;2024-06-15;2024-06-15
R00003;U1674;Batur Aylan;Limon Kahve;ChIJ7_9thTp9uRQRDkDPBtcbbkY;3;2024-04-10;2024-04-10
R00004;U1464;Ülker Ayhatun;Cafe Bahane;ChIJpVcGLCF9uRQRI7hEtBj91Lg;3;2024-04-13;2024-04-13
R00005;U0997;İbrahim Ayveroğlu;Cirrus Coffe& Bakery;ChIJ62pw14l9uRQR_mnPFE5hOsw;3;2024-11-16;2024-11-16
R00006;U0190;Lin Wang;Günizi Cafe;ChIJfegr9AZiuRQRXwtK6P5foCY;3;2024-08-13;2024-08-13
R00007;U0097;Hasan Afer;Konsept Coffee Snack;ChIJP-M1DgB9uRQR1CNl-2igFV4;1;2024-08-13;2024-08-13
R00008;U0289;Ayşe Aynaoğlu;Derin Cafe Patisserie;ChIJ0cgFxiB9uRQR3US9v4-qDCI;3;2024-12-21;2024-12-21
R00009;U1461;Soo-jin Karlsson;The Owl Coffee & More;ChIJa5sLcAd9uRQRDVXDzxgyRs0;3;2024-01-16;2024-01-16
R00010;U0339;Wei Georgiou;Küçük Dükkan Coffee&Roastery;ChIJ91zutzl9uRQRP0CoHkmLvWo;5;2024-01-23;2024-01-23
R00011;U0455;Min-ho Andreou;777 Coffee House;ChIJGaoqO3R9uRQR7RFRqkpWuLA;3;2024-05-31;2024-05-31
R00012;U1718;Ahmed Wiśniewski;Poka Coffee Roasters Bornova;ChIJ7b_eweh9uRQRCIGJsYRBi5c;3;2024-06-10;2024-06-10
R00013;U0364;Didem Çelik;Kün Coffee;ChIJTWn7cAB9uRQR2BfjsR6F63I;4;2024-11-30;2024-11-30
R00014;U0659;Andreas Johansson;Poka Coffee Roasters Bornova;ChIJ7b_eweh9uRQRCIGJsYRBi5c;4;2024-05-29;2024-05-29
R00015;U1660;Nalan Bahadır;Gua Coffee Company Bornova;ChIJb_P1RsZ9uRQRIPdnE8tWcoE;4;2024-07-06;2024-07-06
